,Country Name,Abuse Score 2021,Underlying Situation Score 2021,Global Score 2021,Global Score 2020,Global Score 2019,alpha_2,alpha_3,ccode,country,leader,year,government,gov_democracy,Continent_Name
21,Latvia,0.0,19.26,19.26,18.56,19.53,LV,LVA,367.0,Latvia,Karins,2021.0,Parliamentary Democracy,1.0,Europe
22,Liechtenstein,0.0,19.49,19.49,19.52,20.49,LI,LIE,223.0,Liechtenstein,Hans-Adam II,2021.0,Monarchy,0.0,Europe
25,Cyprus,16.09,19.85,19.85,20.45,21.74,CY,CYP,352.0,Cyprus,Nikos Anastasiadis,2021.0,Foreign/Occupied,0.0,Europe
28,Lithuania,0.0,20.15,20.15,21.19,22.06,LT,LTU,368.0,Lithuania,Nauseda,2021.0,Parliamentary Democracy,1.0,Europe
29,Spain,23.98,19.7,20.44,22.16,21.99,ES,ESP,230.0,Spain,Sanchez,2021.0,Parliamentary Democracy,1.0,Europe
33,United Kingdom,13.86,21.65,21.59,22.93,22.23,GB,GBR,200.0,United Kingdom,Johnson,2021.0,Parliamentary Democracy,1.0,Europe
34,France,41.9,17.89,22.6,22.92,22.21,FR,FRA,220.0,France,Macron,2021.0,Presidential Democracy,1.0,Europe
35,Slovakia,0.0,23.02,23.02,22.67,23.58,SK,SVK,317.0,Slovakia,Heger,2021.0,Parliamentary Democracy,1.0,Europe
36,Slovenia,6.93,23.1,23.1,22.64,22.31,SI,SVN,349.0,Slovenia,Jansa,2021.0,Parliamentary Democracy,1.0,Europe
39,Andorra,0.0,23.32,23.32,23.23,24.63,AD,AND,232.0,Andorra,Espot Zamora,2021.0,Parliamentary Democracy,1.0,Europe
40,Czech Republic,0.0,23.38,23.38,23.57,24.89,CZ,CZE,316.0,Czech Rep,Andrej Babis,2021.0,Parliamentary Democracy,1.0,Europe
41,Italy,27.73,22.63,23.39,23.69,24.98,IT,ITA,325.0,Italy,Draghi,2021.0,Parliamentary Democracy,1.0,Europe
47,Romania,0.0,24.91,24.91,25.91,25.67,RO,ROU,360.0,Romania,Iohannis,2021.0,Parliamentary Democracy,1.0,Europe
55,Croatia,0.0,27.95,27.95,28.51,29.03,HR,HRV,344.0,Croatia,Plenkovic,2021.0,Parliamentary Democracy,1.0,Europe
57,Bosnia and Herzegovina,10.99,28.34,28.34,28.51,29.02,BA,BIH,346.0,Bosnia,Dodik,2021.0,Foreign/Occupied,0.0,Europe
59,Georgia,0.0,28.64,28.64,28.59,28.98,GE,GEO,372.0,Georgia,Garibashvili,2021.0,Parliamentary Democracy,1.0,Europe
63,Armenia,16.09,28.83,28.83,28.6,28.98,AM,ARM,371.0,Armenia,Pashinyan,2021.0,Parliamentary Democracy,1.0,Europe
65,Poland,33.32,28.02,28.84,28.65,28.89,PL,POL,290.0,Poland,Duda,2021.0,Presidential Democracy,1.0,Europe
71,Greece,32.19,28.43,29.01,28.8,29.08,GR,GRC,350.0,Greece,Mitsotakis,2021.0,Parliamentary Democracy,1.0,Europe
78,Kosovo,19.46,30.32,30.32,29.33,29.68,RS,SRB,347.0,Kosovo,Kurti,2021.0,Parliamentary Democracy,1.0,Europe
79,Kosovo,19.46,30.32,30.32,29.33,29.68,RS,SRB,345.0,Serbia,Ana Brnabic,2021.0,Parliamentary Democracy,1.0,Europe
81,Malta,0.0,30.46,30.46,30.16,29.74,MT,MLT,338.0,Malta,Abela,2021.0,Parliamentary Democracy,1.0,Europe
83,Albania,23.98,30.59,30.59,30.25,29.84,AL,ALB,339.0,Albania,Rama,2021.0,Parliamentary Democracy,1.0,Europe
89,Moldova,6.93,31.61,31.61,31.16,31.21,MD,MDA,359.0,Moldova,Aureliu Ciocoi,2021.0,Parliamentary Democracy,1.0,Europe
90,Macedonia,0.0,31.67,31.67,31.28,31.66,MK,MKD,343.0,Macedonia,Zaev,2021.0,Parliamentary Democracy,1.0,Europe
92,Hungary,0.0,31.76,31.76,30.84,30.44,HU,HUN,310.0,Hungary,Orban,2021.0,Dominant Party,0.0,Europe
93,Republic of Serbia,31.78,32.03,32.03,31.62,31.18,RS,SRB,347.0,Kosovo,Kurti,2021.0,Parliamentary Democracy,1.0,Europe
94,Republic of Serbia,31.78,32.03,32.03,31.62,31.18,RS,SRB,345.0,Serbia,Ana Brnabic,2021.0,Parliamentary Democracy,1.0,Europe
98,Ukraine,51.93,28.37,32.96,32.52,32.46,UA,UKR,369.0,Ukraine,Zelensky,2021.0,Presidential Democracy,1.0,Europe
105,Montenegro,21.97,34.33,34.33,33.83,32.74,ME,MNE,341.0,Montenegro,Zdravko Krivokapic,2021.0,Parliamentary Democracy,1.0,Europe
113,Bulgaria,24.85,37.29,37.29,35.06,35.11,BG,BGR,355.0,Bulgaria,Stefan Yanev,2021.0,Parliamentary Democracy,1.0,Europe
151,Russia,52.98,48.0,48.71,48.92,50.31,RU,RUS,365.0,Russia,Putin,2021.0,Personal Dictatorship,0.0,Europe
155,Turkey,66.12,46.14,49.79,50.02,52.81,TR,TUR,640.0,Turkey,Erdogan,2021.0,Party-Personal,0.0,Europe
158,Kazakhstan,13.86,50.28,50.28,54.11,52.82,KZ,KAZ,705.0,Kazakhstan,Tokayev,2021.0,Personal Dictatorship,0.0,Europe
162,Belarus,61.68,48.24,50.82,49.75,51.66,BY,BLR,370.0,Belarus,Lukashenko,2021.0,Personal Dictatorship,0.0,Europe
171,Azerbaijan,50.24,58.77,58.77,58.48,59.13,AZ,AZE,373.0,Azerbaijan,Ilhma Aliyev,2021.0,Personal Dictatorship,0.0,Europe
